,,Notes,Artificial Pilot,Archive Inc Pilot,RST Pilot,Pinnacle Pilot,Detritus Pilot,,Ralph Karlsson,Bethany Jones,Abe Isamu,Harold Schmidt,Prospero,Lily Reed,Chen Rong,Henry Kwan,Camila Vera,Gana,Isaac Jones,Silica,Archimedes,Kazaaakpleth,Mafan,Ariadne,,Archive Inc CEO,Rust CEO,Snow CEO,Detritus CEO
,Vek_Smoke,Vek is put in smoke (from anyone / any cause),"""Update: Airborne particles have slowed Vek reflexes"",
""Update: Airborne particles have halted Vek attack"",
""Update: Vek attack compromised""","""That smoke's slowing the Vek."",
""Guess they don't like smoke any more than we do...""","""I hope that Vek chokes on the dust."",
""Like smoking a wasp nest.""","""[ The particles are interfering with the Vek sensors ]"",","""The particles are disorienting the Vek."",
""Excellent... the smoke is slowing the Vek down.""",,"""That'll scramble its head for a bit."",
""Hope it chokes on that cloud."",
""It won't see us coming now.""","""Looks like the Vek don't like the smoke much..."",
""That smoke's slowing it down!""","""It is not used to fighting blind. Let us take advantage of this."",","""The Vek is exhibiting symptoms of disorientation."",
""The Vek can't seem to focus in the smoke - interesting."",","""The smoke is acting as a Vek repellent."",
""Adding smoke dispersal to Vekticide routines."",
""Particle dispersal interferes with Vek receptors."",
""The smoke is acting as a deterrent to the Vek's aggression."",","""Choke on that, ugly!"",
""Hope the smoke makes that Vek's eyes water..."",
""I'm surprised the Vek can still breathe in that cloud!""","""Looks like that Vek's lost its bearings in the smoke."",
""The smoke's staggered that Vek!"",
""Smoke should distract that Vek for now.""","""Vek's smoked!"",
""Smoke's stunned the Vek!"",
""Guess the Vek wasn't expecting smoke!""","""Smoke can't stop me, but it can stop Vek."",
""Have to be R.S.T.-trained like I am to fight in storms, Vek."",
""The Vek can't maneuver in the smoke like my Mech can."",","""Vek's lack of safety goggles has disoriented it."",
""Vek sensors appear to be malfunctioning in the smoke.""","""The cloud s-s-seems to be d-d-disorienting the Vek..."",
""The c-cloud is, uh... clouding... er, c-c-confusing... the Vek's senses..."",
""The V-V-Vek seems to be s-slowing in the smoke, as if c-c-confused.""","""Vek encased in cloud of particles."",
""Smoke cloud detected around Vek.""","""I believe the smoke is interfering with the Vek's olfactory receptors."",
""I suspect the particles are blinding the Vek's olfactory receptors.""","""Vk…; Kch'kch'ch…""","""| :----: |""",""":: …rhnn-kk-k-n…? …Hnh. ::""",,"""The Vek actively avoid smoke... much like our own pilots."",","""The smoke disorients the Vek, makes them easy targets.""","""The dense smoke will neutralize that Vek for now."",","""The smoke seems to confuse them... perhaps we can make more use of that?"",
""CEO Kern mentioned the Vek were susceptible to dust storms and smoke... I see what she meant."""
,Vek_Frozen,Vek is frozen (from any cause except Snow Storm and Freeze Mine),"""Update: Vek is frozen."",
""Update: Vek mobility at 0%"",","""It's trapped in the ice."",
""It's frozen!"",
""It's on ice.""","""Frozen... but the Vek's still alive in there."",
""Commander, Vek's frozen, but still alive."",","""[ Vek has been encased in ice ]"",
""[ Vek has ceased movement ]""","""Vek's been flash-frozen."",
""Cold and Vek don't mix."",
""Vek's frozen, but still alive."",",,"""Got that one on ice."",
""Vek's iced."",
""More for the freezer.""","""Bet the Vek wasn't expecting that!"",
""The Vek's completely encased!"",
""That ice should hold the Vek!""",,"""The Vek has succumbed to the extreme temperature."",
""The Vek is frozen... but I'm still reading life signs."",
""Maybe we could transport the Vek to the dissection chambers in ice...""","""The Vek has been suspended in ice."",
""The ice is acting as a deterrent to the Vek's aggression."",
""The ice will suspend the Vek until its body can be recycled safely.""","""Vek's on ice!"",
""Vek's in the fridge!"",
""A little ice calmed that Vek down!""","""Vek's frozen. We'll deal with it later."",
""Stopped that Vek cold."",
""Vek's trapped in the ice. Watch your fire, don't accidentally free it.""","""Vek's an ice cube!"",
""That's one ugly-looking icicle."",
""Hope it wasn't expecting a warm reception..."",
""Vek's an ice sculpture now - shall we get to carving?"",
""Vek's been sub-zero'd!""","""Vek's been frozen, commander."",
""Vek's on ice."",
""That Vek'll have trouble punching through that ice.""","""Hazardous Vek material has been encased in ice."",
""Hazardous Vek material has been frozen."",
""Vek has been encased in ice for safe removal.""","""I... I b- believe the c-c-cold has slowed its metabolism."",
""Vek life s-s-signs are slowing - it's alive... b-b-but unable to move."",
""Its m-m-metabolic readings are slowing. I... I think it's trapped."",
""W-W-Will that ice be able to h-h-hold it...?""","""Vek contained by hazardous weather conditions."",
""Vek frozen by hazardous weather conditions.""","""The Vek has been cryogenically paralyzed."",
""The Vek's life signs are faint, and its mobility compromised by its new, icy shell."",
""The Vek has been encased neatly in a fresh cryogenic shell.""","""Vk? Tk'tch'Kch…?""","""| ------ |""",""":: Rhnn-kk-n?! …Hnh. ::""",,"""It seems the Vek are as susceptible to the cold as we are."",
""Interesting... the Vek don't seem strong enough to break free of the ice.""","""Now that the Vek's frozen, don't let it break free.""","""The ice has preserved the Vek. I am detecting very faint life signs."",
""The ice is only a temporary solution. Something may set it free."",
""That Vek is frozen solid. Focus on other targets now."",","""That Vek's been frozen solid, but still lives. I hope it doesn't get freed by accident."""
,VekKilled_Self,,"""Update: Target destroyed"",
""Update: Target deleted"",
""Update: Enemy obstruction removed"",
""Update: Enemy has been deactivated""","""I got one!"",
""This is for Archive's citizens!"",
""And there's more where that came from!""","""Mark one for me."",
""Never get tired of killing Vek..."",
""Kill confirmed, commander.""","""[ Vek has been deleted ]"",
""[ Vek threat removed ]"",
""[ Vek has ceased life operations ]""","""Target eliminated."",
""Vek disposed of."",
""Disposal complete.""",,"""All right, who's next?"", 
""Another one for me."", 
""Target down."",
""That's one."",
""Done with this one."",
""This one's not running back to its hive."",
""Another Vek down.""","""Enemy down! We can do this!"",
""One more down!"",
""This one's down!""","""Die."", 
""One more dead."", 
""Another for me.""","""Unfortunate. Its remains are too badly damaged to analyze."",
""I meant to stun it for research, not kill it."",
""This mission of ours is really like a big game of violent chess, when you think about it."",","""The Vek shall nourish the soil."",
""Vek has been recycled."",
""May the Vek nourish the soil."",
""The Vek's essential nutrients have been dispersed."",
""The Vek has transitioned into nutrients.""","""One down! Who's next!"",
""Lights out, ugly!"",
""And STAY down!"",
""That's from the #squad, suckers!"",
""#squad: 1! Vek: 0!""","""Vek eliminated. Acquiring new target."",
""Vek down. Moving on to the next one."",
""Slow, steady, and by the numbers, #squad.""","""Hah! Chalk up another kill for me!"",
""Did you all see that?"",
""Got it! Yes!"",","""Target down."",
""Vek's down, commander."",
""Vek down. One by one, we'll get this done.""","""Vek hazard disposed of."",
""Vek disposal operations are on track."",
""Vek hazard has been cleared from the area."",
""I have removed the Vek hazard from the area."",","""The Vek... it's... d-d-dead."",
""I... k-k-killed it."",
""I w-w-wish there was some other way to deal with the Vek, but...""","""Vek has been excavated."",
""Vek has been mined of all useful resources."",","""I have disposed of this threat to human safety."",
""The Vek has been disposed of safely and humanely."",
""I'm relatively certain the Vek didn't feel any pain."",
""This Vek hazard has been sanitized."",","""Vk; K'tch; #self_reverse!""","""/ ::--:: \""",""":: Hnn. ::""",,,,,
,VekKilled_Obs,,"""Evaluation: #main_reverse competency logged"",
""Retrieving Compliment: 'Well done!'"",
""Retrieving Compliment: 'You deserve praise!'"",
""Retrieving Compliment: 'Jolly good show!'"",
""Retrieving Compliment: 'Kicking ass, taking names!'""","""Nicely done!"",
""Archive'll be proud!"",
""Another for the #squad!"",
""Teach them to mess with us.""","""That's one for you."",
""Let's keep it up!"",","""[ Vek has been deleted. Credit for deletion: Pilot #main_second ]"",
""[ Vek threat removed. Credit for removal: Pilot #main_second ]"",
""[ Vek has ceased life operations. Credit for cessation: Pilot #main_second ]""","""One less Vek to dispose of."",",,"""Don't get overconfident. There's more where it came from."", 
""Keep moving, more may be on the way!"",
""That's one more for #main_second."", 
""That's one... but there's plenty more."",
""Good! Keep up the pressure!"",
""That's it, wipe them all out!""","""Great shot!"",
""Great shot, #main_first!"",
""Keep it up, everyone!"",","""Stay focused."", 
""Watch for others."", 
""Don't gloat, keep fighting.""","""Careful! You'll ruin any attempt at an autopsy."",
""Can someone save at least one of these for study, please?"",
""If someone would save just one of these subjects for study, I'd appreciate it.""","""The Vek shall nourish the soil."",
""The Vek has been recycled."",
""Make sure no part of it is wasted."",
""Vek essential nutrients dispersed."",
""Vek harvesting successful."",
""The Vek has transitioned into nutrients.""","""Gross! Now there's dead Vek bits everywhere!"",
""That's from the #squad, suckers!"",
""1 for the #squad! Vek: 0!"",
""Nice, #main_first! That Vek didn't even see it coming!""","""Good job, #main_second. Keep up the pressure."",
""Good one, #main_second."",
""Good job, #main_second, you're doing the #squad proud!""","""Took you long enough."",
""Next time, try killing the Vek with a little more style."",
""I don't need any help killing these Vek, you know."",
""Hey! Leave some Vek for me!"",
""Don't get selfish now.""","""Good kill, #main_second."",
""Clean kill, #main_second."",
""One less Vek to worry about..."",
""Good one, #main_second! Keep up the pressure!""","""Vek hazard disposed of."",
""Vek cleaning operations are on track."",
""Vek hazard has been cleared from the area.""","""The c-c-creature is dead."",
""The Vek... you k-k-killed it."",
""I w-w-wish we could find s-s-some other way to deal with the Vek, but...""","""Vek has been excavated."",
""Vek remains marked for excavation.""","""Another threat to human safety disposed of."",
""By lesser standards, a perfectly adequate kill."",
""The Vek hazard has been sanitized.""","""Kc'chk'ta…; Jjjk; K'tch!""","""/ ::--:: \""",""":: Hnn. ::""",,"""Bravo!"",
""Encore!"",
""Well done!"",
""Excellent, Pilot #main_second!"",
""Another for the #squad!""","""Competent."",
""Now let's see you do even better."",
""Kill confirmed."",
""Don't get complacent... there's thousands more."",
""Pat yourself on the back after the mission's done.""","""Every Vek killed is more lives saved."",
""Efficiently done."",
""Well done"",","""Our sensors detect one less Vek."",
""Vek kill confirmed - good work, Pilot #main_second."""
,VekKilled_Vek,,"""Update: Target destroyed\nCause of Death: Friendly Fire"",
""Vek Tactical Efficiency: Sub-optimal""","""Once the Vek commit, they can't seem to stop their attack."",
""Talk about single-minded."",
""The Vek are taking each other out!"",
""The Vek are clearing our way.""","""Why are we losing to these things again?"",
""Saved us the trouble..."",
""Vek taken down by another Vek, commander.""","""[ Vek deleted. Cause of deletion: rival Vek ]"",
""[ Vek threat removed. Reason for removal: rival Vek ]"",
""[ Vek has ceased life operations. Cause of cessation: rival Vek ]""","""Looks like the Vek are cleaning up after themselves."",
""Good to see the Vek disposing of each other."",
""The Vek are assisting in the clean-up efforts."",
""Looks like the Vek are a hazard to themselves as well.""",,"""If only they would wipe each other out completely."", 
""Sometimes the Vek might as well be on our side."",
""Get them caught in each other's way!"",
""Trip them up, and they'll murder each other.""",,"""Let them kill each other."",
""It saved me the trouble.""","""Interesting. It's as if once they decide to attack, they can't stop themselves."",
""It's as if they lack the motor skills to rein in their own attacks..."",
""Interesting. They react to shifting battlefield conditions much slower than our human and A.I. pilots."",","""The Vek are accelerating their own life cycles."",
""The Vek infestation is working against itself."",
""The Vek are harvesting their own."",
""The Vek are recycling the Vek."",
""The Vek is dispersing the nutrients of the other Vek."",","""Why do the Vek DO that to each other?"", 
""Jeez. The Vek are their own worst enemies!"",","""Vek are making it easier on us."",
""Vek are doing our work for us."",
""The Vek killed the other one. Guess the Vek have switched sides...""","""Someone explain why we're losing to these guys again?"",
""Vek could use some trigger discipline."",
""The Vek sure don't play nice with each other.""","""One less problem to worry about, thanks to the Vek..."",
""The Vek are taking each other out!"",","""Hazardous Vek material has consumed itself."",
""The Vek appear to be clearing the work site themselves."",
""Vek hazard has disposed of Vek hazard."",
""Vek obstacle has been disposed of by another Vek obstacle.""","""Why w-w-would they hurt each other?"",
""They s-s-seem to take too long to adapt to changing c-conditions."",
""They d-d-don't seem able to adapt to changing battlefield c-conditions."",
""I d-don't think that was intentional... they're j-j-just too s-s-slow to react."",
""It's like the Vek n-n-nervous system lags behind their r-receptors.""","""Vek has conducted unauthorized excavation of rival Vek.""","""Good to see the Vek are making themselves useful."",
""Hmm. Perhaps those two Vek didn't care much for each other?""","""Kc'chk'ta…; Vk; K'tch?!""","""/ ::..:: \""",""":: Hnn-kk-k? ::""",,"""It mystifies me why the Vek kill their own."",","""Vek kill their own. Such stupid creatures."",
""Mindless beasts... the Vek can't even stop themselves from killing each other.""",,"""It seems the Vek are lending a helping hand."",
""Who would have thought the Vek would aid us on the battlefield."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DoubleVekKill_Self,,"""Tactical Efficiency: Optimal"",
""Update: Targets destroyed"",
""Update: Targets deleted"",
""Update: Multiple targets destroyed""","""I got two!"",
""That's one way to conserve our ammo."",
""That's two more Vek that won't be bothering us!""","""Mark two for me.""","""[ 2 Vek have been deleted ]"",
""[ 2 Vek threats removed ]"",
""[ 2 Vek have ceased life operations ]""","""Singh would be proud."",
""Hope that shows up in my performance review."",
""Hope Detritus caught that on sensors..."",",,"""Line them up, I'll knock 'em down."",
""Love it when the Vek leave themselves open."", 
""Two for the price of one."", 
""Bet they didn't see that coming.""","""Did I do that?"",
""Got them!"",
""That's two less we have to worry about.""","""Precision."",
""Double kill."",
""Let's see if they can match that.""","""Two down. Minimal effort, optimal result."",
""It's all about positioning. Positioning is key."",
""I take back what I said about this being akin to chess... maybe bowling would be a better analogy?""","""These Vek shall nourish the soil."",
""Vek have been recycled."",
""Multiple Vek life cycles transitioned."",
""May these Vek nourish the soil."",
""Vek essential nutrients dispersed."",
""Multiple Vek have transitioned into nutrients.""","""Wow! I... ah... meant to do that?"", 
""Did you all see that?! That was me!"", 
""And there's more where that came from!"",
""Scored a double!"",
""That's from the #squad, suckers!"",
""2 for the #squad! Vek: 0!""","""Vek... two of them... eliminated. Guess I still got it."",
""Two Vek down... acquiring new targets."",","""Two for me!"", 
""The rest of you try and keep up, all right?"", 
""Like my magic trick? I take two Vek and make them disappear.""","""Two more targets eliminated!"",
""Two Vek down!"",
""I've taken care of these two!""","""Vek hazards disposed of."",
""Vek cleaning operations are ahead of schedule."",
""Vek hazards have been cleared from the area."",
""Vek hazards removed from the area."",","""D-D-Did... did I do that?"",
""I killed them? B-Both of them?"",
""I killed them b-both?"",
""I... I d-d-didn't think that would work on them."",
""I... d-d-didn't think, I just... acted.""","""Vek have been excavated."",
""Vek have been mined of all useful resources."",","""I have disposed of these threats to human safety."",
""These Vek have been disposed of safely and humanely."",
""I'm relatively certain the first Vek didn't feel any pain. The second..."",
""Vek hazards sanitized.""","""Vk; Vk; K'TCH; #self_reverse!""","""// :::::: \\""",""":: Hnn-HNN! ::""",,,,,
,DoubleVekKill_Obs,,"""Tactical Efficiency: Optimal"",
""Update: Targets destroyed"",
""Update: Targets deleted"",
""Update: Multiple targets destroyed""","""All right!"",
""Let's see what other Vek we can line up for kills!"",
""One for the history books!""","""Now you're just showing off."",
""You need to show me how you did that."",
""The Vek are going to need reinforcements quicker than they thought.""","""[ 2 Vek deleted. Cause of deletions: Pilot #main_second]"",
""[ 2 Vek threats removed. Reason for removals: Pilot #main_second]"",
""[ 2 Vek have ceased life operations. Cause: Pilot #main_second]""","""Looks like I need to up my efforts..."",
""You deserve a commendation."",
""Well done, #main_second!""",,"""Not bad, rookie."",
""Nice one, #main_second."",
""Gunning for a promotion?"",
""That's two notches for you."", 
""When we get back, drinks are on me."", 
""Way to show 'em how it's done!""","""That'll show them!"",
""Great job!"",
""Good one, #main_first!"",
""Two less we have to worry about!"",
""Two down - let's keep it up, everyone!""","""Excellent strike."",
""Flawless."",
""The Vek are vulnerable to such strategy.""","""Could have at least wounded one for study..."",
""Tactically sound."",
""Excellent example of conserving fire."",","""The Vek shall nourish the soil."",
""The Vek life cycle has transitioned."",
""Make sure no part of it is wasted."",
""Vek essential nutrients dispersed."",
""The Vek has transitioned into nutrients.""","""You scored a double!"",
""Wow. Remind me not to piss you off, #main_first!"",
""What's better than a dead Vek? TWO dead Vek!"",
""Do you want US to do anything, or...?"",
""2 for the #squad! Vek: 0!""","""Good job. Keep up the pressure."",
""Good one, #self_second."",
""Good job, you're doing the #squad proud!""","""Hmph, not bad, not bad... but I could have done better."", 
""Two Vek? Not bad. I guess."", 
""Um... we're not keeping score on Vek kills, are we?""","""Good one, #main_second."",
""Nicely done, #main_second."",
""Way to thin the herd, #main_second."",
""Come on, #squad, we going to let #main_second do all the work?"",","""Vek hazards disposed of."",
""Vek cleaning operations are ahead of schedule."",
""Vek hazards have been cleared from the area."",
""Vek hazards removed from the area."",","""You killed them b-b-both?"",
""I... I'm impressed."",
""Maybe we h-h-have a chance yet..."",
""This b-b-battle's not over...""","""Vek has been excavated."",
""Multiple Vek remains marked for excavation.""","""More threats to human safety disposed of."",
""That attack came close to approaching my own performance levels."",
""Vek hazards sanitized."",
""Your Vek sanitization skills are improving! Due to my example, no doubt.""","""KC'chk'TA…; Jjjk; K'TCH! JJK?""","""// :::::: \\""",""":: Hnn. Hnn. ::""",,"""Spectacular!"",
""Amazing!"",
""Magnificent!"",
""That was incredible, Pilot #main_second, simply incredible!""","""Impressive."",
""Well done."",
""Well executed."",
""Pilot... #main_second, is it? Well done.""","""Efficient use of resources."",
""Efficiently done."",","""Well done, Pilot #main_second."",
""Expertly performed."",
""You #squad certainly know your trade."",
""I'm glad you #squad are with us in this fight!"""
,DoubleVekKill_Vek,,"""Tactical Efficiency: Optimal+\nUpdate: Cataloguing new tactics"",
""Update: Targets destroyed"",
""Update: Targets destroyed\nCause of Death: Friendly fire"",
""Update: Targets deleted\nCause: IFF failure"",
""Vek Tactical Efficiency: Sub-optimal""","""Once the Vek commit, they can't seem to stop their attack."",
""Talk about single-minded."",
""The Vek are taking each other out!"",
""The Vek are clearing our way.""","""Why are we losing to these things again?"",
""Saved us the trouble..."",
""Vek taken down by another Vek, commander."",
""Love it when the Vek turn on each other...""","""[ 2 Vek deleted. Cause of deletions: rival Vek ]"",
""[ 2 Vek threats removed. Reason for removals: rival Vek ]"",
""[ 2 Vek have ceased life operations. Cause of cessations: rival Vek ]""","""Are they on our side now?"",
""Looks like the Vek are engaged in their own clean-up operation."",
""The Vek are tearing each other apart!""",,"""If only they'd do that more often..."",
""Can't believe the Vek are stealing our kills..."",","""They're killing their own!"",
""It's as if once the Vek decide to attack, they can't stop themselves."",","""They kill their own kind.""","""Fascinating creatures. A little slow to adapt, however."",
""It's as if they lack the motor skills to rein in their own attacks..."",
""Interesting. They react to shifting battlefield conditions much slower than our human and A.I. pilots.""","""The Vek are accelerating their own life cycles."",
""The Vek have started to harvest their own."",
""The Vek is dispersing the nutrients of its own kind."",","""Look at those Vek tear into each other!"",
""Watching those Vek fight reminds me of fights with my brothers..."",
""Guess the Vek don't have a sense of family. Or remorse.""","""Vek are making it easier on us."",
""Vek are doing our work for us."",
""Guess the Vek have switched sides...""","""These Vek are idiots."", 
""I can't believe the Vek survived this long."",
""Those Vek better not rack up more kills than me!""","""The Vek are clearing the board for us."",
""A few more like that, and we can pack it up."",
""They're turning on each other - but don't let your guard down."",","""Hazardous Vek material are consuming themselves."",
""Vek appear to be clearing the work site themselves."",
""Vek hazard has disposed of Vek hazards."",
""Vek obstacles have been disposed of by another Vek obstacle.""","""Why w-w-would they hurt each other?"",
""They s-s-seem to take too long to adapt to changing c-conditions."",
""They d-d-don't seem able to adapt to changing battlefield c-conditions."",
""I d-don't think that was intentional... they're j-j-just too s-s-slow to react."",
""It's like the Vek n-n-nervous system lags behind their r-receptors.""","""Vek has conducted unauthorized excavation of Vek rivals."",","""Good to see the Vek are making themselves useful."",
""Hmm. Perhaps those Vek didn't care much for each other?""","""KC'chk'TA…; Vk; K'TCH?!! VK?!!""","""// ::..:: \\""",""":: Hnn-Hnn-kk-k? ::""",,"""It mystifies me why the Vek kill their own."",","""Vek kill their own. Such stupid creatures."",
""Mindless beasts... the Vek can't even stop themselves from killing each other.""",,"""It seems the Vek are lending a helping hand."",
""Who would have thought the Vek would aid us on the battlefield."""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MntDestroyed_Self,"Note that because a destroyed mountain (and building) can then be moved through, some lines reflect the fact the player can now move into these tiles.","""Accessing: Region topography\nUpdated: Mountain deleted"",
""Update: New pathing available"",
""Update: Environmental obstacle removed""","""Good old-fashioned terraforming..."",
""Did I do that?"",
""These Mechs could put R.S.T. out of business...""","""Nothing like a little manual terraforming..."",
""At R.S.T., we used to take down mountains like this before breakfast."",
""This is nothing - wait to you see an R.S.T. Earth Mover at work.""","""[ Terrain has been altered ]""","""Mountain is no longer an obstacle."",
""Mountain has been disposed of."",",,"
""Mountain's clear."",
""Leveled it."",
""One mountain down."",
""Leveling the playing field."",
""Terraforming, the old-fashioned way.""","""Mountain's collapsing!"",
""...The power of these Mechs scares me sometimes."",
""Better I do it than the Vek ruin it, I guess?"",
""I... I did that? I... wow.""","""Obstacle cleared."",","""Did I do that?"",
""The firepower of these Mechs is considerable."",
""I thought R.S.T. had a monopoly on terrain deformation...""","""The mountain has been dispersed."",
""Mountain recycled. Area is now suitable for planting.""","""Did... did I just blow up a mountain?"",
""Wow. The mountain's... gone."",
""I... can't wait to try that again!""","""Terrain cleared."",
""At least it gives us more room to maneuver."",
""One less obstruction for our weapons.""","""Just call me King of the Mountain."",
""One mountain, now rubble."",
""That mountain was ruining the view anyway.""","""Mountain's gone."",
""At least it gives us some space to maneuver..."",","""Mountain obliteration complete."",
""Mountain has been obliterated."",
""Mountain has been demolished with extreme prejudice."",","""I... have d-d-destroyed one of the mountains."",
""That w-w-was me - I destroyed it.""","""Mountain excavation complete. No significant mineral resources obtained."",","""Isn't there a first-gen R.S.T. intelligence that could be doing this instead?"",
""...I have destroyed a mountain."",
""Please do not add mountain disintegration to my skill set."",","""Tch'k.""","""| ------ |""",""":: Hnn-HRN! HRN?! ::""",,,,,
,MntDestroyed_Obs,,"""Accessing: Region topography\nUpdated: Mountain deleted"",
""Update: New pathing available"",
""Update: Environmental obstacle removed""","""Good old-fashioned terraforming..."",
""These Mechs could put R.S.T. out of business...""","""Doing a little terraforming? R.S.T. is hiring."",
""At R.S.T., we used to take down mountains like that before breakfast."",
""That's nothing - wait to you see an R.S.T. Earth Mover at work.""","""[ Terrain has been altered ]""","""Mountain is no longer an obstacle."",
""Mountain has been disposed of."",",,"""Watch the rubble!"",
""Well, that cleared the view."",
""Hope that made you feel better.""","""At least we have more room to maneuver."",
""Mountain's collapsing!"",
""...The power of these Mechs scares me sometimes."",
""Better we do it than the Vek ruin it, I guess?"",","""Save your strength for the Vek.""","""The firepower of these Mechs is nothing short of incredible."",
""Excellent - we've removed a terrain obstacle.""","""The mountain has been dispersed."",
""Mountain recycled. Amount of arable land in region increased."",","""Jeez! Did... did you blow up a mountain?"", 
""Wow. These Mechs scare me sometimes."",","""Terrain cleared."",
""Gunning for a terraforming job with R.S.T., #main_second?"",
""Gives us more room to maneuver."",
""One less obstruction for our weapons.""","""If I didn't know better, I'd say you were throwing a tantrum."",
""I didn't like that mountain either.""","""Mountain's gone."",
""At least you gave us some space to maneuver..."",","""Mountain obliteration complete."",
""Mountain has been obliterated."",
""Mountain has been demolished with extreme prejudice."",",,"""Mountain excavation detected. Scan indicates no significant mineral resources obtained.""",,"""Tch'k; Jjk; K'tca.""","""| ------ |""",""":: Hnn-HRRN! HrnN?! ::""",,,,,
,MntDestroyed_Vek,,"""Accessing: Region topography\nUpdated: Mountain deleted"",
""Update: New pathing available"",
""Update: Environmental obstacle removed""","""Better a mountain than a building...""","""Too bad R.S.T. can't herd up the Vek to help with terraforming...""","""[ Terrain has been altered ]""","""At least it cleared some room for us."",",,"""Better a mountain than a building.""","""What did that mountain ever do to it?"",
""I wonder if it saw the mountain as an alpha rival?"",
""If only we could keep the Vek focused on attacking the mountains...""","""If the mountain will not come to the Vek, the Vek will bring down the mountain."", 
""Nature will have its revenge.""",,"""Vek has dispersed the mountain."",
""Terrain has been leveled and is now suitable for planting."",","""Maybe the Vek saw the mountain as a rival?"",
""That's it, Vek... attack the mountain while we target you with our weapons...""","""At least it gives us more room to maneuver."",
""One less obstruction for our weapons.""","""Guess the Vek feel threatened by mountains..."",
""One less mountain range to worry about, I guess..."",","""At least the Vek gave us some space to maneuver..."",","""Unauthorized Vek work order has demolished a mountain."",
""Vek hazard is performing unauthorized demolitions in region."",",,"""Unauthorized Vek mining operations detected."",
""Scan indicates no significant mineral resources obtained.""","""The Vek has destroyed the mountain.""","""Tch'k; Vk; K'tca.""","""| -..--.- |""",""":: HNN-HRN! HRN?! ::""",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PowerCritical,,"""WARNING: Grid approaching critical"",
""WARNING: Grid failure imminent""","""Uh... the Grid's about to hit bottom!"",
""We're losing power! Another hit, and the island's done for!"",
""Grid's hit critical!""","""Grid's down to fumes. Guard the buildings."",
""Grid's approaching zero, commander!"",
""Protect the Grid, it's almost gone!""","""[ Att: Commander. Grid power is almost depleted ]""","""Engineers report Grid is almost at zero!"",
""Emergency Power is almost depleted - when it's gone, it's over."",
""My systems are losing power, protect the Grid!""",,"""Grid's almost at zero!"",
""Power Grid collapsing! Dammit!"",
""Grid's going down!"",
""Reading power failures - Grid's collapsing!"",
""Systems are losing power, Grid's going off-line!"",
""Grid's about to fail! Protect the buildings!"",
""Grid's about to collapse - if it does, the planet's lost!""","""Grid's almost out of power!"", 
""We're about to lose the Grid!"",
""Grid's in the red! But we can save it, I know we can!"",
""Grid's about to fall! We need to protect the buildings!"",
""Grid's nearing collapse! If it does, the planet... the entire timeline... is lost!""","""Our resolve is strong. The Grid is not."",
""The Grid is about to fail. Shall we die with it?"",
""The Grid is bleeding out. We must protect it."",
""Defend the Grid. If it falls, so does the world.""","""We're losing the Grid! Another hit..."",
""Our Mechs are powered by the Grid! It needs to remain intact!"",
""Grid's about to fail! We're already at emergency power!""","""The Grid is losing its ability to nourish us."",
""These battlefield conditions are damaging the Grid."",
""The Grid is unused to these battlefield conditions."",","""Bad news, #squad - Grid's in the red!"",
""Another hit, and the Grid's toast!"",
""Losing power... any more damage, and we're dead in the water!""","""Protect the Grid or we're done for!"",
""Grid's approaching critical."",
""Losing the Grid... that happens, we lose this timeline.""","""Power's nearing zero!"",
""Uh, looks like we're almost out of juice. That's bad, right?"",
""Grid's almost fried! It goes, so do our Mechs!""","""Grid's almost gone!"",
""Protect the Grid or we're done for!"",
""Grid's critical! We lose it, this timeline's done for!""","""Grid analysis indicates we are nearly out of power. The island will be lost."",
""Island is now on emergency power. When it is depleted, we have lost.""","""The Grid's in th-the red! We n-n-need to do something!"",
""Grid's about t-t-to fail! What are w-w-we going to do?""","""#corp Power Grid nearing collapse."",
""#corp Power Grid failing."",","""I do not wish to alarm anyone, but the Power Grid is likely to fail if it takes any more hits."",
""I don't wish to affect morale negatively, but the Power Grid is at near-failure."",
""I must point out if the Grid fails, we will not simply lose this battle, but this timeline as well.""","""Kc'CCH'ccccCHT…!""","""\\\ *:**::* ///""",""":: Rhnnn-KK-N. Nnn-HRN! ::""",,"""The Grid is failing! We don't have much power left!"",","""The Grid is bleeding power. Another hit, and we're done for."",","""If the Grid sustains any more damage, the island reactors will fail completely."",","""Our engineers report the Grid is at critical levels!"","
