,,Notes,Archive Inc CEO,Rust CEO,Snow CEO,Detritus CEO
,Mission_Tanks_Briefing,,"""We've got engineers working on two Old Earth tanks in this region. They should be up and running shortly after you arrive."",
",,,
,Mission_Tanks_Success,,"""The Vek have been put down - and Old Earth technology is up and kicking! Couldn't have hoped for better!"",
",,,
,Mission_Tanks_Failure,,"""Both tanks were destroyed? But... they were the only other defense we had in the region, we're vulnerable without them."",
",,,
,Mission_Tanks_Partial,,"""It's a shame one of the tanks was destroyed, but at least we still have one left for our Planetary Conflict exhibit."", 

""It's a shame to see one of our tanks destroyed, but at least he went down fighting!"",
",,,
,,,,,,
,Mission_Satellite_Briefing,,"""These satellites were the centerpiece of our Race to Space exhibit, but they'll prove more useful providing telemetry for our defenses."",

""These satellites were recovered from orbit a long time ago, but they should still function well enough to help us detect Vek activity across the island."",

""We've upgraded these old satellites and should be able to make use of them. With any luck, they'll survive the launch!"",

""We've been planning to launch these satellites for quite some time, I hope your Mechs can keep the Vek from sabotaging our efforts."",
",,,
,Mission_Satellite_Success,,"""We're already getting data back from the satellites in orbit. Excellent job, we'll be able to spot the Vek before they attack!"", 

""I've dreamed of launching those satellites into space my entire life! It's amazing to see Old Earth technology still serving its purpose."", 

""Privately, I was always sad seeing those satellites sitting in a display. Up in space, helping mankind, that's what they were meant for!"",
",,,
,Mission_Satellite_Failure,,"""More artifacts destroyed by the Vek - along with our chance of establishing an early warning system."", 

""My grandfather recovered those satellites for Archive Inc. - many lives would have been saved if we could've put them back in orbit. It's a tragedy to have lost them both."",
",,,
,Mission_Satellite_Partial,,"""Would've been better to get both satellites into orbit, but at least one of them is up there and transmitting!"", 

""I suspect Old Earth scientists wouldn't have been happy with a 50 percent success rate, but it's the best we amateurs can hope for!"",

",,,
,,,,,,
,Mission_Artillery_Briefing,,"""Our technicians recently got an Old Earth artillery battery up and running! Please make sure it survives this fight."",",,,
,Mission_Artillery_Success,,"""Excellent job, we'll leave the artillery battery manned and ready in case the Vek decide to return!""",,,
,Mission_Artillery_Failure,,"""We were hoping to study that artillery battery to expand our military capabilities. Now it's just another worthless pile of scrap."",",,,
,,,,,,
,Mission_Mines_Briefing,,"""Old Earth produced massive quantities of explosives. This region is littered with uncleared ordnance, so watch your step!"",

""Old Earth proximity mines are buried in this region from hundreds of years ago. We were slowly disarming them - but then we thought, why not use them against the Vek?"",

""We were conducting excavations in this region when the Vek came using Old Earth proximity mines. You may be able to use them against the Vek!"",",,,
,Mission_Mines_Success,,"""Watching those mines take out the Vek was a real treat! And with fewer mines around, it's safer for our forces to move through the region."",

""With the Vek gone, and some proximity mines cleared, we can establish a permanent military presence in the region!"",",,,
,,,,,,
,Mission_Dam_Briefing,,"""Destruction of the dam in this region is a necessary evil - it will create a natural barrier between us and the burrowing Vek."",

""This Old Earth dam used to generate power, but has little use now. Destroying it will let the river reclaim the land and delay the Vek.""",,,
,Mission_Dam_Success,,"""It was painful to watch that historic monument fall. I hope it was worth the sacrifice."",

""Thank you, #squad - the destruction of that dam will delay the Vek while we try to get more military technology back online!"",

""Now there's a massive river between the refugees and the Vek hives, we all should be a lot safer! Thank you, #squad.""",,,
,Mission_Dam_Failure,,"""The destruction of that dam would have been useful. At least it's still impressive to look at."",

""With the river still locked behind the dam, the refugee centers in the adjoining region are easy targets for burrowing Vek.""",,,
,,,,,,
,Mission_Tides_Briefing,,"""An offshore volcano is causing tidal waves along the coast - and may help wash away the Vek threatening the area.""",,,
,Mission_Tides_Success,,"""Mother nature comes to our defense! Good thing the structures in the area were prepared for flooding. Thank you, #squad!""",,,
,,,,,,
RST Missions,Mission_Force_Briefing,"This mission involves ""a display of force"" against the Vek. Bonus Objectives are to ""Kill 6 Vek"" and ""Destroy 2 Mountains""",,"""We need to move aggressively. We need you to destroy as much land mass in the region as you can before the Vek use the mountains as hives."",

""We need to drive the Vek back - kill all you can, then destroy the mountain ranges before they turn them into hives."",",,
,Mission_Force_Success,Both objectives complete,,"""Well done. Normally, I would welcome stable ground in any part of R.S.T. - but not if that stable land mass benefits the Vek."",",,
,Mission_Force_Failure,Both objectives failed,,"""Not enough Vek were killed... and reports indicate enough stable land mass remains for them to attempt a hive. This mission was a complete failure."",",,
,Mission_Force_MountainsAlive,"Mountains left standing (optional, we could just have generic ""Failed"" messages and not bother with these.",,"""The Vek casualty report was sufficient, but with the stable land mass remaining, they can still use them as hives to replenish their numbers."",",,
,Mission_Force_VekAlive,"Vek left standing (optional, we could just have generic ""Failed"" messages and not bother with these.",,"""Vek still remain in the region. But at least with the stable land masses destroyed, they have no hives to skulk back to if we hit them again."",",,
,,,,,,
,Mission_Holes_Briefing,"Similar to 'generic' missions, but this one has Hornet Vek arriving out of massive holes in the groundinstead of Vek coming up from under the standard tiles. Where these holes came from has no explanation currently, so the text can address that.",,"""We're detecting strange Vek activity - flying Vek are emerging from underground hives beneath the island through erosion points."",

""Vek have been reported emerging from erosion points and then taking to the air. We can't allow them achieve air superiority."",

""We've had reports of Vek not only burrowing below ground, but emerging and then taking to the air. They own the ground, we can't allow them to control the skies, too."",

""I want you to make this area a no-fly zone for the Vek - turn those erosion points they're emerging from into graves."",",,
,Mission_Holes_Success,"""Generic"" success for this mission, as it can involve a number of different bonus objectives (low grid power, low mech power, etc.)",,"""No Vek in the air or on the ground - no living Vek, that is. Well done."",

""We've stopped the Vek infestation here - we'll be ready if more erosion points appear."",
",,
,,,,,,
,Mission_Lightning_Briefing,"Another ""generic"" mission, but this one has lightning striking the ground every turn. Weather Control systems out of control?",,"""One of our meteorological stations has reported Vek converging on their location. Intercept them - but beware the weather, it rains lightning."",

""One of our weather turbines has reported a Vek attack. We can't afford to lose the turbine, but beware the storms in the area - they are out of our control."",",,
,Mission_Lighting_Success,"""Generic"" success as it can also involve a lot of bonus objectives.",,"""Well done. R.S.T. weather conditions are notoriously difficult to control, but they're one of our best weapons against the Vek.""",,
,,,,,,
,Mission_Terraform_Briefing,"Mission expect the player to use the Terraformer to transform grass into sand (as part of RST's ""scorched earth"" policy). Though Justin is concerned that it's confusing why the player would want to destroy pretty land, as the mission does not make it clear why destroyed grassland makes a strategic difference.",,"""We need to activate one of our terraformers to destroy a Vek hive beneath the surface."",

""Use the terraformer on the ground in this sector. We can't let the Vek use the stable land mass to breed; the whole region could be lost."",

""Our terraforming technology is one of our best weapons against buried Vek hives."",

""We need to use the terraformer in this region to collapse Vek tunnels beneath the surface."",
",,
,Mission_Terraform_Success,Terraformer is defended and all grassland is terraformed,,"""Terraformer is secure - and sensors report no activity from Vek below the surface. The region is ours."",

""Losing our island's greenery in this way is something I can endure if it means it won't be despoiled by the Vek."",",,
,Mission_Terraform_Failure,Terraformer is destroyed (and grassland thus failed to be transformed),,"""The terraformer was destroyed - and we already have reports of Vek hives in the region. One of our best weapons in the war is gone."",",,
,Mission_Terraform_Incomplete,"Terraformer survives, but the grassland remains",,"""You've secured the terraformer, but it's too late to stop the hives - and that means the surrounding regions are now in danger as well."",",,
,,,,,,
,Mission_Cataclysm_Briefing,"The entire map is falling away, only half the map remains at the end of the battle",,"""The cataclysmic failure of a terraformer in the region is destroying the land. Try not to fall into the depths.""",,
,Mission_Cataclysm_Success,Generic success since there are no mission specific objectives,,"""That chasm should prove too deep for even the Vek. Maybe we should start sinking more of our island...""",,
,,,,,,
,Mission_Crack_Briefing,Crack is spreading across the map from one edge to the other.,,"""The Vek took out this region's ground stabilizer. We're not sure what the result will be... watch your step.""",,
,Mission_Crack_Success,Generic success since there are no mission specific objectives,,"""Another day, another piece of our home destroyed. Once these Vek are gone, our terraformers are going to have to work overtime.""",,
,,,,,,
,Mission_Filler_Briefing,"An ""Earth Mover"" is filling in a chasm in the earth. Player must defend it.",,"""One of our earth movers is filling in a chasm created by malfunctioning stabilizers. Make sure it stays in one piece.""",,
,Mission_Filler_Success,"""Earth Mover"" survives and the ground is filled in",,"""We'll start constructing subterranean defenses on that new land before the Vek can burrow into it.""",,
,Mission_Filler_Failure,"""Earth Mover"" dies -- ground still might be filled in, so don't address that.",,"""Stable land is at a premium on this island - we needed that earth mover to create a foundation for new shelters and roads!""",,
,,,,,,
,Mission_Solar_Briefing,,,"""We shape the weather patterns over the island so our solar farms can harvest sunlight twelve hours a day. But to do that, the farms need to remain standing.""",,
,Mission_Solar_Success,,,"""Those solar farms are essential for maintaining the Grid. It's a miracle you kept the Vek from destroying them.""",,
,Mission_Solar_Partial,,,"""Just one solar farm is insufficient. While the island endures rolling blackouts, I'm sure you'll expect your Mechs to get priority treatment.""",,
,Mission_Solar_Failure,,,"""Without power, your Mechs are worthless. Perhaps next time you should consider that when the enemy is destroying our solar farms.""",,
,,,,,,
*,Mission_Bomb_Briefing,Two prototype Renfield Bombs are on the map to be defended.,,"""This site holds two warheads designed by a temporal physicist, Dr. Renfield, utilizing your 'breach' technology. R.S.T. was deemed the safest place to test them.""",,
*,Mission_Bomb_Success,Both bombs defended,,"""Excellent, both prototypes survived intact. I can order Renfield and his team to move on to stage two.""",,
*,Mission_Bomb_Partial,One bomb lost,,"""While you lost one of Renfield's prototypes, at least the other is intact. But your carelessness could cost us the war.""",,
*,Mission_Bomb_Failure,Both bombs lost,,"""Your incompetence knows no bounds. Not one, but both of Renfield's prototypes destroyed... you may have cost us the war!""",,
,,,,,,
Pinnacle Inc Missions,Mission_FreezeBots_Briefing,"Player is given a tank capable of freezing units in ice for this mission. They are tasked to Freeze 2 Hostile Robots that are present, and make sure they survive (frozen) till the end.",,,"""These machines are not currently themselves. Look past their malfunctioning aggression, and see them as living beings.""",
,Mission_FreezeBots_Success,,,,"""Thank you for protecting the sentient life. I am sure I will be able to restore their programming."",",
,Mission_FreezeBots_Freed,1 bot is still alive but not frozen,,,"""It is unfortunate you were unable to safely secure both machines, but I am grateful you showed restraint and kept them alive."",",
,Mission_FreezeBots_Dead,1 bot was killed for any reason,,,"""I understand your hand was forced. But at least one of the machines survived, and his Server Sisters will be thankful."",",
,Mission_FreezeBots_Failure,Both bots are dead,,,"""I understand your hand was forced. But I must mourn the loss of life... <connection lost>"",",
,,,,,,
,Mission_BotDefense_Briefing,"There are two neutral robots laying mines on the map, ignoring both players and enemies. The Player needs to defend them both to the end.",,,"""Our sentient mine layers have lost I/O and are attempting to run old routines. Protect these blind helpless creatures."",",
,Mission_BotDefense_Success,,,,"""With the Vek destroyed, we can safely attempt repairs on the machines. Thank you."",",
,Mission_BotDefense_Partial,1 bot died,,,"""I understand your hand was forced. But at least one of the machines survived, and his Server Sisters will be thankful."",",
,Mission_BotDefense_Failure,Both bots dead,,,"""I understand your hand was forced. But I must mourn the loss of life... <connection lost>"",",
,,,,,,
,Mission_Factory_Briefing,"Two Robotic Factories are spawning hostile robots throughout the mission, but the player must defend the factories -- Robots are fair game, though for lore reasons probably still discouraged

The factories are 'too valuable' to lose and perhaps contain 'innocent sentient lives'?",,,"""These factories are manufacturing hostile machines, but there are hundreds of innocent lives within. Please defend them while we try to shut them down safely."",",
,Mission_Factory_Success,,,,"""I've broken through their firewall and safely disengaged the factories from the Power Grid. They will no longer pose a threat.""",
,Mission_Factory_Partial,1 factory was destroyed,,,"""That factory not only contained life, but could create it. Few such facilities remain on our island. Now there is one less than before."",",
,Mission_Factory_Failure,Both factories destroyed,,,"""Those factories not only contained life, but could create it. Few such facilities remain on our island. Now there are two less than before."",",
,,,,,,
,Mission_Reactivation_Briefing,"""Reactivation"" is a misnomer at this point. Field of battle is full of enemy units incased in ice, every turn more units come out of the ice. No special objective, just a straight battle.",,,"""When I lost control of my environmental processes, hundreds of Vek and machines alike were frozen solid. As the island comes back online, these fresh dangers are being freed."",",
,Mission_Reactivation_Success,(Generic success),,,"""Those machines were beyond repair after suffering such extreme temperatures; killing them was a necessity to save more life. I hope."",",
,,,,,,
,Mission_SnowBattle_Briefing,"Generic battle, but the map has 2 hostile robots on it to start. No special objectives.

Comments like ""it's too bad you'll have to kill these bots"" would be appropriate.",,,"""I cannot advocate killing the hostile machines in this region, but I acknowledge their threat is too great to ignore."",",
,Mission_SnowBattle_Success,(Generic success),,,"""It does not feel like a victory when the battle is fought against the sick within your own population."",",
,,,,,,
,Mission_Stasis_Briefing,"Generic battle, but the map has 2 FROZEN abnormally dangerous robots on it. Player should be encouraged to avoid freeing the robots, though they are not penalized so it shouldn't sound like an objective.",,,"""Threat Diagnostic: <Machines: Frozen. Threat: Very high.> I recommend you avoid them.""",
,Mission_Stasis_Success,(Generic success),,,"""The Vek are enough of a threat to your survival, I am sorry that my kind is unwell and providing additional complications."",",
,,,,,,
,Mission_FreezeMines_Briefing,"Generic battle, but the map is full of mines that freeze the enemy.",,,"""I calculate there are still three hundred and seventy-three cryo-mines in this area intended for pacification of hostile machines. Keep your sensors on high."",",
,Mission_FreezeMines_Success,(Generic success),,,"""Leave everything the cryo-mines froze to my cleanup droids. I will devote the processing time to ensure they are safely disposed of."",",
,,,,,,
,Mission_FreezeBldg_Briefing,Every building is frozen in ice at mission start. Player is tasked to free at least 5 buildings from the ice.,,,"""One of my environmental processes crashed, and the result was an entire city encased in ice. The lives within are still functioning - but they will die if not freed in time."",",
,Mission_FreezeBldg_Success,,,,"""There should be no lasting damage to the occupants. And my environmental monitor is functioning normally again."",",
,Mission_FreezeBldg_Failure,"Too many buildings still in ice
",,,"""Those buildings are now icy tombs for both machine and organic life. We will free them after the war and dispose of them respectfully."",",
,,,,,,
,Mission_SnowStorm_Briefing,Generic mission. Snow Storm will periodically freeze large sections of the map in ice during the mission.,,,"""The local coolant station detonated, releasing storms of cryo-nanites into the atmosphere. Avoid them or your Mechs may be flash-frozen."",",
,Mission_SnowStorm_Success,(generic success),,,"""Good to see you thawed out. I am working to contain the rogue cryo-nanites, and the storms in the region have already ceased."",",
,,,,,,
Detritus Missions,Mission_Barrels_Briefing,Large Vats of A.C.I.D. need to be destroyed. (Unstable? Create traps for Vek? Any reason really),,,,"""A Vek hive lies directly beneath the waste disposal tanks in this region. Detonate the vats, and the chemical runoff will destroy the hive."",

""The vats in this region contain chemicals poisonous to the Vek - breach the containment vats, and the Vek will vacate the sector."","
,Mission_Barrels_Failure,Not enough vats destroyed,,,,"""Unfortunately, not enough chemicals were seeded into the ground - the Vek still remain in the sector."",

""While the Vek advance was slowed, not enough vats were destroyed to halt them. Unfortunate, but there is nothing more to be done."","
,Mission_Barrels_Success,All vats destroyed,,,,"""100% of the vats were destroyed and the chemicals released. Our sensors are already picking up diminished Vek activity in the region."","
,,,,,,
,Mission_Disposal_Briefing,Play uses Disposal Unit (needs a name) -- It launches a A.C.I.D. projectile that immediately desolves a large area. The player must use it to melt all mountains on the map. (For the resources? Because Vek are in them?),,,,"""Vek hives infest the mountains in this sector. An A.C.I.D. Launcher is stationed in the region - defend it while it disassembles the mountain range."",

""We need the #squad to defend this A.C.I.D. Launcher while it dissolves the Vek hives infesting the mountains."","
,Mission_Disposal_Failure,Disposal unit destroyed + Mountains remain,,,,"""Disappointing - the Launcher and its crew are lost, and the mountains and the Vek hives remain. We'll need to abandon the sector."",

""The A.C.I.D. Launcher was destroyed, along with its crew. I will inform the families personally, and order the sector quarantined at once."","
,Mission_Disposal_Mountains,Mountains remain,,,,"""The Vek hives remain. Sensors report they are spawning new Vek. We'll have to abandon the sector before they overrun us."", 

""The Launcher is still active, but the hives in the mountains remain. Sensors report the Vek swarming the area - we have to pull back."","
,Mission_Disposal_Disposal,Disposal Unit dead,,,,"""The A.C.I.D. Launcher was destroyed along with its crew - yet their sacrifice was not in vain. The Vek hives have been eradicated."""
,Mission_Disposal_Success,"Disposal Unit Survives, Mountains destroyed",,,,"""Your mission was a success, commander - the A.C.I.D. Launcher is intact and the Vek disintegrated."","
,,,,,,
,Mission_AcidTank_Briefing,Player controls an A.C.I.D. tank (needs name?) for the mission. It applies A.C.I.D. to units. Mission is to destroy Vek that have the A.C.I.D. applied (so the A.C.I.D. has a chance to recycle the corpses?),,,,"""Detritus has assigned an A.C.I.D. tank in this sector to the #squad - use it to study the A.C.I.D.'s effects on the Vek."",

""An A.C.I.D. tank has been deployed to this sector. Take out any Vek hit by the tank, then secure the sector so we can study the Vek remains."","
,Mission_AcidTank_Failure,Not enough units with acid killed,,,,"""Too many Vek escaped the A.C.I.D. test - we don't have enough Vek remains to conduct proper analysis."""
,Mission_AcidTank_Success,4 Vek with Acid killed,,,,"""A success, commander – with your help, a sufficient number of Vek were inflicted with A.C.I.D. for study."","
,,,,,,
,Mission_Acid_Briefing,"Normal battle, but Vek are jumping out of the ACID pools to attack. They have ACID pre-applied to them as a game effect. (They're adapting? They can live surprisingly long with it?)",,,,"""These A.C.I.D. pools are being hit by the Vek, but the Vek seem to be... adapting to the chemicals. We need to stop the Vek before they develop an immunity."",

""This sector has several A.C.I.D. storage lakes. The Vek seem to be using them as routes to reach the surface."","
,Mission_Acid_Success,(Generic success),,,,"""#squad, you are to be commended - sensors confirm the Vek have been driven back. The sector is once again ours."","
,,,,,,
,Mission_Power_Briefing,Power plants need to be defended (two on the map),,,,"""This sector has two Grid installations that power many of our Detritus' factories. These installations are vital to Detritus' defense efforts."",

""The power plants in this sector are critical against the Vek, commander. If lost, we may lose Detritus as well."","
,Mission_Power_Success,Power plants both alive,,,,"""Both power plants have reported in, and there's been no disruption in the Grid. You and your pilots have our gratitude, commander."","
,Mission_Power_Partial,One Power Plant destroyed,,,,"""One of the plants was lost. We'll have to initiate energy rationing for all but the most critical facilities, but Detritus may be able to recover."","
,Mission_Power_Failure,Both Power Plants destroyed,,,,"""The loss of both plants has not only caused our factories to go dark, but several refugee centers as well. I'll need to relocate the people immediately."","
,,,,,,
,Mission_Belt_Briefing,"Normal battle, but the map has massive conveyor belts that push the units around. (Normally used for transporting waste and recycling? Used for transportation of civilians?)",,,,"""Normally we use Conveyer Yards to ferry waste vats - but you and the #squad may be able to use the conveyers against the Vek."","
,Mission_Belt_Success,(Generic success),,,,"The Conveyor Yard is secured. Thank you, commander - we had not thought to use the conveyer belts in a military capacity."","
,,,,,,
,Mission_Teleporter_Briefing,"Normal battle, but the map has teleporter spaces that can warp units between different spaces on the map. (Again, why? Transport of waste/people/tech/etc?)",,,,"""This is one of our teleporter sites - it transports waste by disassembling and reassembling matter. You may be able to use the teleporters against the Vek."", 

""While teleporting biomatter is prohibited by the Corporate Accords, I can make an exception for you - and the Vek."",

""Disposal teleporters are active in this sector, built to disassemble and transport waste matter. You could use them to outmaneuver the Vek."","
,Mission_Teleporter_Success,(Generic success),,,,"""The teleporter site is ours - we will continue to use these teleporters against the Vek if need be."",

""The site is back under our control - and following your example, we can use the teleporters against the Vek if they attack again."","
